department,student_number,name,age
department_1,student_number_1,name_1,21
department_2,student_number_2,name_2,22
department_3,student_number_3,name_3,23
department_4,student_number_4,name_4,24
department_5,student_number_5,name_5,25
department_6,student_number_6,name_6,26
department_7,student_number_7,name_7,27
department_8,student_number_8,name_8,28
department_9,student_number_9,name_9,29
department_10,student_number_10,name_10,30
department_11,student_number_11,name_11,31
department_12,student_number_12,name_12,32
department_13,student_number_13,name_13,33
department_14,student_number_14,name_14,34
department_15,student_number_15,name_15,35
department_16,student_number_16,name_16,36
department_17,student_number_17,name_17,37
department_18,student_number_18,name_18,38
department_19,student_number_19,name_19,39
department_20,student_number_20,name_20,40
department_21,student_number_21,name_21,41
department_22,student_number_22,name_22,42
department_23,student_number_23,name_23,43
department_24,student_number_24,name_24,44
department_25,student_number_25,name_25,45
department_26,student_number_26,name_26,46
department_27,student_number_27,name_27,47
department_28,student_number_28,name_28,48
department_29,student_number_29,name_29,49
department_30,student_number_30,name_30,50
department_31,student_number_31,name_31,51
department_32,student_number_32,name_32,52
department_33,student_number_33,name_33,53
department_34,student_number_34,name_34,54
department_35,student_number_35,name_35,55
department_36,student_number_36,name_36,56
department_37,student_number_37,name_37,57
department_38,student_number_38,name_38,58
department_39,student_number_39,name_39,59
department_40,student_number_40,name_40,60
department_41,student_number_41,name_41,61
department_42,student_number_42,name_42,62
department_43,student_number_43,name_43,63
department_44,student_number_44,name_44,64
department_45,student_number_45,name_45,65
department_46,student_number_46,name_46,66
department_47,student_number_47,name_47,67
department_48,student_number_48,name_48,68
department_49,student_number_49,name_49,69
department_50,student_number_50,name_50,20
department_51,student_number_51,name_51,21
department_52,student_number_52,name_52,22
department_53,student_number_53,name_53,23
department_54,student_number_54,name_54,24
department_55,student_number_55,name_55,25
department_56,student_number_56,name_56,26
department_57,student_number_57,name_57,27
department_58,student_number_58,name_58,28
department_59,student_number_59,name_59,29
department_60,student_number_60,name_60,30
department_61,student_number_61,name_61,31
department_62,student_number_62,name_62,32
department_63,student_number_63,name_63,33
department_64,student_number_64,name_64,34
department_65,student_number_65,name_65,35
department_66,student_number_66,name_66,36
department_67,student_number_67,name_67,37
department_68,student_number_68,name_68,38
department_69,student_number_69,name_69,39
department_70,student_number_70,name_70,40
department_71,student_number_71,name_71,41
department_72,student_number_72,name_72,42
department_73,student_number_73,name_73,43
department_74,student_number_74,name_74,44
department_75,student_number_75,name_75,45
department_76,student_number_76,name_76,46
department_77,student_number_77,name_77,47
department_78,student_number_78,name_78,48
department_79,student_number_79,name_79,49
department_80,student_number_80,name_80,50
department_81,student_number_81,name_81,51
department_82,student_number_82,name_82,52
department_83,student_number_83,name_83,53
department_84,student_number_84,name_84,54
department_85,student_number_85,name_85,55
department_86,student_number_86,name_86,56
department_87,student_number_87,name_87,57
department_88,student_number_88,name_88,58
department_89,student_number_89,name_89,59
department_90,student_number_90,name_90,60
department_91,student_number_91,name_91,61
department_92,student_number_92,name_92,62
department_93,student_number_93,name_93,63
department_94,student_number_94,name_94,64
department_95,student_number_95,name_95,65
department_96,student_number_96,name_96,66
department_97,student_number_97,name_97,67
department_98,student_number_98,name_98,68
department_99,student_number_99,name_99,69
department_100,student_number_100,name_100,20
department_101,student_number_101,name_101,21
department_102,student_number_102,name_102,22
department_103,student_number_103,name_103,23
department_104,student_number_104,name_104,24
department_105,student_number_105,name_105,25
department_106,student_number_106,name_106,26
department_107,student_number_107,name_107,27
department_108,student_number_108,name_108,28
department_109,student_number_109,name_109,29
department_110,student_number_110,name_110,30
department_111,student_number_111,name_111,31
department_112,student_number_112,name_112,32
department_113,student_number_113,name_113,33
department_114,student_number_114,name_114,34
department_115,student_number_115,name_115,35
department_116,student_number_116,name_116,36
department_117,student_number_117,name_117,37
department_118,student_number_118,name_118,38
department_119,student_number_119,name_119,39
department_120,student_number_120,name_120,40
department_121,student_number_121,name_121,41
department_122,student_number_122,name_122,42
department_123,student_number_123,name_123,43
department_124,student_number_124,name_124,44
department_125,student_number_125,name_125,45
department_126,student_number_126,name_126,46
department_127,student_number_127,name_127,47
department_128,student_number_128,name_128,48
department_129,student_number_129,name_129,49
department_130,student_number_130,name_130,50
department_131,student_number_131,name_131,51
department_132,student_number_132,name_132,52
department_133,student_number_133,name_133,53
department_134,student_number_134,name_134,54
department_135,student_number_135,name_135,55
department_136,student_number_136,name_136,56
department_137,student_number_137,name_137,57
department_138,student_number_138,name_138,58
department_139,student_number_139,name_139,59
department_140,student_number_140,name_140,60
department_141,student_number_141,name_141,61
department_142,student_number_142,name_142,62
department_143,student_number_143,name_143,63
department_144,student_number_144,name_144,64
department_145,student_number_145,name_145,65
department_146,student_number_146,name_146,66
department_147,student_number_147,name_147,67
department_148,student_number_148,name_148,68
department_149,student_number_149,name_149,69
